bug_id,top1_hit,top3_hit,top5_hit,top1_file_hit,top3_file_hit,top5_file_hit,mrr,map,num_gt_methods,num_gt_files
Codec-4,0,0,0,0,0,0,0.0,0.0,1,1
Codec-5,0,0,0,0,1,1,0.0,0.0,1,1
Codec-6,0,0,0,1,1,1,0.0,0.0,1,1
Codec-7,1,1,1,1,1,1,1.0,1.0,1,1
Codec-8,0,0,0,1,1,1,0.0,0.0,2,2
Codec-9,0,0,0,1,1,1,0.0,0.0,1,1
Codec-10,1,1,1,1,1,1,1.0,1.0,1,1
Codec-11,1,1,1,1,1,1,1.0,0.3333333333333333,3,1
Codec-12,0,0,0,0,0,0,0.0,0,0,0
Codec-13,0,0,0,1,1,1,0.0,0.0,1,1
Codec-14,0,0,0,0,0,0,0.0,0.0,1,1
Codec-15,0,0,0,1,1,1,0.0,0.0,1,1
Codec-16,0,0,0,0,0,0,0.0,0,0,0
Codec-17,0,1,1,1,1,1,0.5,0.5,1,1
Codec-18,0,0,1,0,0,1,0.25,0.25,1,1
Collections-25,1,1,1,1,1,1,1.0,0.3333333333333333,3,1
Collections-26,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,1,1
Collections-27,0,0,0,0,0,0,0.0,0,0,0
Collections-28,0,0,0,0,0,0,0.0,0,0,0
Compress-1,0,0,0,0,0,0,0.0,0.0,1,1
Compress-2,0,1,1,0,1,1,0.5,0.125,4,1
Compress-3,0,1,1,0,1,1,0.3333333333333333,0.1111111111111111,3,1
Compress-4,0,0,0,1,1,1,0.0,0.0,4,4
Compress-5,0,0,0,1,1,1,0.0,0.0,1,1
Compress-6,1,1,1,1,1,1,1.0,0.5,2,1
Compress-7,0,0,0,1,1,1,0.0,0.0,1,1
Compress-8,0,0,0,0,1,1,0.0,0.0,1,1
Compress-9,0,0,0,1,1,1,0.0,0.0,1,1
Compress-10,0,0,0,1,1,1,0.0,0.0,1,1
Compress-11,1,1,1,1,1,1,1.0,1.0,1,1
Compress-12,0,1,1,0,1,1,0.3333333333333333,0.3333333333333333,1,1
Compress-13,0,0,0,0,0,0,0.0,0.0,1,1
Compress-14,0,0,0,0,1,1,0.0,0.0,1,1
Compress-15,0,1,1,0,1,1,0.5,0.5,1,1
Compress-16,0,0,0,0,0,0,0.0,0.0,1,1
Compress-17,0,0,0,1,1,1,0.0,0.0,1,1
Compress-18,0,0,0,1,1,1,0.0,0.0,1,1
Compress-19,0,0,0,1,1,1,0.0,0.0,1,1
Compress-20,0,1,1,1,1,1,0.5,0.38888888888888884,3,1
Compress-21,0,0,0,1,1,1,0.0,0.0,1,1
Compress-22,0,0,0,1,1,1,0.0,0.0,6,1
Compress-23,0,0,0,0,1,1,0.0,0.0,1,1
Compress-24,0,0,0,1,1,1,0.0,0.0,1,1
Compress-25,0,0,0,1,1,1,0.0,0.0,1,1
Compress-26,0,0,0,0,1,1,0.0,0.0,1,1
Compress-27,0,0,0,1,1,1,0.0,0.0,1,1
Compress-28,0,0,0,1,1,1,0.0,0.0,1,1
Compress-29,0,0,0,1,1,1,0.0,0.0,8,7
Compress-30,0,0,0,1,1,1,0.0,0.0,1,1
