run_timestamp,bug,dataset,stage,input_type,duration_s,gpu_energy_j,codecarbon_energy_kwh,codecarbon_co2_kg
2026-08-16T05:28:13,Closure-175,Defects4J,SR,bug_report,1408.963,34985.694,0.061048,0.028362
2026-08-16T05:28:13,Closure-176,Defects4J,SR,bug_report,1455.341,35951.599,0.063285,0.029401
2026-08-16T05:28:13,Closure-18,Defects4J,SR,bug_report,1724.348,42763.939,0.075299,0.034983
2026-08-16T05:28:13,Closure-19,Defects4J,SR,bug_report,1723.426,42820.076,0.075276,0.034972
2026-08-16T21:37:20,Closure-2,Defects4J,SR,bug_report,1711.578,42406.902,0.053332,0.024777
2026-08-16T21:37:20,Closure-20,Defects4J,SR,bug_report,2113.583,52683.49,0.092582,0.043012
2026-08-16T21:37:20,Closure-21,Defects4J,SR,bug_report,2117.168,52421.286,0.092685,0.04306
2026-08-16T21:37:20,Closure-22,Defects4J,SR,bug_report,2122.452,52677.01,0.092705,0.04307
2026-08-16T21:37:20,Closure-23,Defects4J,SR,bug_report,1708.176,42179.981,0.074769,0.034737
2026-08-16T21:37:20,Closure-24,Defects4J,SR,bug_report,1698.239,42370.082,0.074876,0.034786
2026-08-16T21:37:20,Closure-25,Defects4J,SR,bug_report,1700.828,42072.719,0.074799,0.03475
2026-08-16T21:37:20,Closure-26,Defects4J,SR,bug_report,1697.475,42007.2,0.074597,0.034657
2026-08-16T21:37:20,Closure-27,Defects4J,SR,bug_report,1698.099,42041.925,0.074528,0.034625
2026-08-16T21:37:20,Closure-28,Defects4J,SR,bug_report,1700.564,42500.919,0.074659,0.034686
2026-08-16T21:37:20,Closure-29,Defects4J,SR,bug_report,1698.457,41714.248,0.07452,0.034621
2026-08-16T21:37:20,Closure-3,Defects4J,SR,bug_report,1717.859,42912.257,0.074403,0.034567
2026-08-16T21:37:20,Closure-30,Defects4J,SR,bug_report,1614.241,39624.195,0.070655,0.032826
2026-08-18T07:18:05,Closure-31,Defects4J,SR,bug_report,1897.515,26516.436,0.041451,0.019258
2026-08-18T07:18:05,Closure-32,Defects4J,SR,bug_report,1892.564,26109.327,0.053763,0.024978
2026-08-18T07:18:05,Closure-33,Defects4J,SR,bug_report,1632.653,22529.512,0.046019,0.02138
2026-08-18T07:18:05,Closure-34,Defects4J,SR,bug_report,1621.143,22475.101,0.04558,0.021176
2026-08-18T07:18:05,Closure-35,Defects4J,SR,bug_report,1613.974,22095.121,0.045288,0.02104
2026-08-18T07:18:05,Closure-36,Defects4J,SR,bug_report,1613.39,22162.55,0.045213,0.021006
2026-08-18T07:18:05,Closure-37,Defects4J,SR,bug_report,1520.019,20811.908,0.042532,0.01976
2026-08-18T07:18:05,Closure-38,Defects4J,SR,bug_report,1515.926,20703.315,0.042455,0.019724
2026-08-18T07:18:05,Closure-39,Defects4J,SR,bug_report,1589.522,21662.272,0.044323,0.020592
2026-08-18T07:18:05,Closure-4,Defects4J,SR,bug_report,1889.478,26050.406,0.052212,0.024257
2026-08-18T07:18:05,Closure-40,Defects4J,SR,bug_report,1515.787,20870.983,0.042421,0.019708
2026-08-18T07:18:05,Closure-41,Defects4J,SR,bug_report,1556.289,21567.763,0.043658,0.020283
2026-08-18T07:18:05,Closure-42,Defects4J,SR,bug_report,1514.022,20933.964,0.042554,0.01977
2026-08-18T07:18:05,Closure-43,Defects4J,SR,bug_report,1591.105,21748.839,0.044315,0.020588
2026-08-18T07:18:05,Closure-44,Defects4J,SR,bug_report,764.771,10283.61,0.020912,0.009715
2026-08-18T07:18:05,Closure-45,Defects4J,SR,bug_report,762.227,10481.621,0.020923,0.00972
2026-08-18T07:18:05,Closure-46,Defects4J,SR,bug_report,2528.911,34890.698,0.06905,0.03208
2026-08-18T07:18:05,Closure-47,Defects4J,SR,bug_report,1605.957,22219.181,0.0446,0.02072
2026-08-18T07:18:05,Closure-48,Defects4J,SR,bug_report,1587.963,21900.452,0.044202,0.020536
2026-08-18T07:18:05,Closure-49,Defects4J,SR,bug_report,1605.701,21878.408,0.044529,0.020687
2026-08-18T07:18:05,Closure-5,Defects4J,SR,bug_report,2362.227,32252.761,0.064109,0.029784
2026-08-18T07:18:05,Closure-50,Defects4J,SR,bug_report,1502.591,20509.967,0.041829,0.019433
2026-08-18T07:18:05,Closure-51,Defects4J,SR,bug_report,1503.944,20832.633,0.041991,0.019508
2026-08-18T07:18:05,Closure-52,Defects4J,SR,bug_report,1506.197,20782.92,0.042016,0.01952
2026-08-18T07:18:05,Closure-53,Defects4J,SR,bug_report,1598.363,22035.356,0.044416,0.020635
2026-08-18T07:18:05,Closure-54,Defects4J,SR,bug_report,2354.797,32125.929,0.063726,0.029606
2026-08-19T11:32:08,Closure-55,Defects4J,SR,bug_report,47.217,7198.375,0.002797,0.0013
2026-08-19T11:32:08,Closure-56,Defects4J,SR,bug_report,39.572,6719.284,0.002526,0.001173
2026-08-19T11:32:08,Closure-57,Defects4J,SR,bug_report,40.196,6811.199,0.002556,0.001187
2026-08-19T11:32:08,Closure-58,Defects4J,SR,bug_report,39.563,6763.221,0.002534,0.001177
2026-08-19T11:32:08,Closure-59,Defects4J,SR,bug_report,39.917,6911.296,0.002594,0.001205
2026-08-19T11:32:08,Closure-6,Defects4J,SR,bug_report,40.949,6618.102,0.002524,0.001173
2026-08-19T11:32:08,Closure-60,Defects4J,SR,bug_report,39.969,6918.526,0.002585,0.001201
2026-08-19T11:32:08,Closure-61,Defects4J,SR,bug_report,39.064,6687.904,0.002506,0.001164
2026-08-19T11:32:08,Closure-62,Defects4J,SR,bug_report,38.66,6632.724,0.002485,0.001154
2026-08-19T11:32:08,Closure-64,Defects4J,SR,bug_report,38.588,6625.424,0.002478,0.001151
2026-08-19T11:32:08,Closure-65,Defects4J,SR,bug_report,38.545,6658.465,0.002488,0.001156
2026-08-19T11:32:08,Closure-66,Defects4J,SR,bug_report,38.424,6657.521,0.002489,0.001156
2026-08-19T11:32:08,Closure-67,Defects4J,SR,bug_report,39.336,6710.086,0.002517,0.001169
2026-08-19T11:32:08,Closure-68,Defects4J,SR,bug_report,38.472,6567.759,0.002477,0.001151
2026-08-19T11:57:36,Closure-69,Defects4J,SR,bug_report,39.32,6678.305,0.002511,0.001166
2026-08-19T11:57:36,Closure-7,Defects4J,SR,bug_report,40.438,6560.315,0.002508,0.001165
2026-08-19T11:57:36,Closure-70,Defects4J,SR,bug_report,38.842,6676.94,0.002495,0.001159
2026-08-19T11:57:36,Closure-71,Defects4J,SR,bug_report,38.447,6729.17,0.002506,0.001164
2026-08-19T11:57:36,Closure-72,Defects4J,SR,bug_report,38.272,6665.626,0.002502,0.001162
2026-08-19T11:57:36,Closure-73,Defects4J,SR,bug_report,38.098,6708.705,0.002491,0.001157
2026-08-19T11:57:36,Closure-74,Defects4J,SR,bug_report,38.182,6737.877,0.002507,0.001165
2026-08-19T11:57:36,Closure-75,Defects4J,SR,bug_report,37.692,6687.124,0.002478,0.001151
2026-08-19T11:57:36,Closure-76,Defects4J,SR,bug_report,37.429,6607.177,0.002465,0.001145
2026-08-19T11:57:36,Closure-77,Defects4J,SR,bug_report,37.184,6610.596,0.002461,0.001143
2026-08-19T11:57:36,Closure-78,Defects4J,SR,bug_report,37.371,6642.589,0.002462,0.001144
2026-08-19T11:57:36,Closure-79,Defects4J,SR,bug_report,38.007,6690.998,0.002499,0.001161
2026-08-19T11:57:36,Closure-8,Defects4J,SR,bug_report,40.477,6595.03,0.002507,0.001165
2026-08-19T11:57:36,Closure-80,Defects4J,SR,bug_report,37.454,6694.404,0.002478,0.001151
2026-08-19T11:57:36,Closure-81,Defects4J,SR,bug_report,37.508,6715.659,0.002481,0.001153
2026-08-19T11:57:36,Closure-82,Defects4J,SR,bug_report,50.385,7480.531,0.002939,0.001365
2026-08-19T11:57:36,Closure-83,Defects4J,SR,bug_report,50.192,7449.914,0.002924,0.001358
2026-08-19T11:57:36,Closure-84,Defects4J,SR,bug_report,50.334,7439.435,0.002925,0.001359
2026-08-19T11:57:36,Closure-85,Defects4J,SR,bug_report,50.143,7429.639,0.002912,0.001353
2026-08-19T11:57:36,Closure-86,Defects4J,SR,bug_report,36.751,6468.468,0.002408,0.001119
2026-08-19T11:57:36,Closure-87,Defects4J,SR,bug_report,36.339,6456.214,0.002395,0.001113
2026-08-19T11:57:36,Closure-88,Defects4J,SR,bug_report,36.826,6473.135,0.002412,0.00112
2026-08-19T11:57:36,Closure-89,Defects4J,SR,bug_report,35.778,6373.463,0.002372,0.001102
2026-08-19T11:57:36,Closure-9,Defects4J,SR,bug_report,40.654,6604.669,0.002512,0.001167
2026-08-19T11:57:36,Closure-90,Defects4J,SR,bug_report,35.946,6444.695,0.002384,0.001108
2026-08-19T11:57:36,Closure-91,Defects4J,SR,bug_report,35.848,6433.912,0.002379,0.001105
2026-08-19T11:57:36,Closure-92,Defects4J,SR,bug_report,36.049,6415.687,0.002391,0.001111
2026-08-19T11:57:36,Closure-94,Defects4J,SR,bug_report,36.634,6662.238,0.002455,0.00114
2026-08-19T11:57:36,Closure-96,Defects4J,SR,bug_report,66.376,11324.513,0.0043,0.001998
2026-08-19T11:57:36,Closure-97,Defects4J,SR,bug_report,40.693,7069.892,0.002644,0.001228
2026-08-19T11:57:36,Closure-98,Defects4J,SR,bug_report,40.118,6908.38,0.002584,0.001201
2026-08-19T11:57:36,Closure-99,Defects4J,SR,bug_report,39.644,6880.887,0.002571,0.001194
2026-08-19T11:57:36,Codec-1,Defects4J,SR,bug_report,11.362,3396.799,0.001087,0.000505
2026-08-19T11:57:36,Codec-10,Defects4J,SR,bug_report,11.514,3536.812,0.001128,0.000524
2026-08-19T11:57:36,Codec-11,Defects4J,SR,bug_report,15.817,4837.613,0.001561,0.000725
2026-08-19T11:57:36,Codec-12,Defects4J,SR,bug_report,12.633,3756.891,0.001209,0.000562
2026-08-19T11:57:36,Codec-13,Defects4J,SR,bug_report,13.568,4365.19,0.001395,0.000648
2026-08-19T11:57:36,Codec-14,Defects4J,SR,bug_report,17.481,4968.687,0.001631,0.000758
2026-08-19T11:57:36,Codec-15,Defects4J,SR,bug_report,15.524,4357.54,0.001428,0.000664
2026-08-19T11:57:36,Codec-16,Defects4J,SR,bug_report,18.768,5039.027,0.001679,0.00078
2026-08-19T11:57:36,Codec-17,Defects4J,SR,bug_report,14.429,4261.101,0.001377,0.00064
2026-08-19T11:57:36,Codec-18,Defects4J,SR,bug_report,10.696,3277.335,0.001042,0.000484
2026-08-19T11:57:36,Codec-2,Defects4J,SR,bug_report,12.245,3806.059,0.001212,0.000563
2026-08-19T11:57:36,Codec-3,Defects4J,SR,bug_report,13.547,4454.662,0.001425,0.000662
2026-08-19T11:57:36,Codec-4,Defects4J,SR,bug_report,17.743,5465.757,0.001771,0.000823
2026-08-19T11:57:36,Codec-5,Defects4J,SR,bug_report,17.183,5393.757,0.001758,0.000817
2026-08-19T11:57:36,Codec-6,Defects4J,SR,bug_report,16.804,4966.245,0.00162,0.000753
2026-08-19T11:57:36,Codec-7,Defects4J,SR,bug_report,14.247,4223.156,0.001367,0.000635
2026-08-19T11:57:36,Codec-8,Defects4J,SR,bug_report,17.074,5112.551,0.001667,0.000775
2026-08-19T11:57:36,Codec-9,Defects4J,SR,bug_report,9.285,2848.427,0.000894,0.000415
2026-08-19T11:57:36,Collections-1,Defects4J,SR,bug_report,11.184,3668.206,0.001157,0.000538
2026-08-19T11:57:36,Collections-10,Defects4J,SR,bug_report,8.965,3039.168,0.000943,0.000438
2026-08-19T11:57:36,Collections-11,Defects4J,SR,bug_report,11.119,3685.827,0.001159,0.000538
2026-08-19T11:57:36,Collections-12,Defects4J,SR,bug_report,9.628,3201.418,0.001006,0.000467
2026-08-19T11:57:36,Collections-13,Defects4J,SR,bug_report,9.86,3319.853,0.001035,0.000481
2026-08-19T11:57:36,Collections-14,Defects4J,SR,bug_report,9.885,3247.521,0.001016,0.000472
2026-08-19T11:57:36,Collections-15,Defects4J,SR,bug_report,11.607,3827.23,0.001204,0.000559
2026-08-19T11:57:36,Collections-16,Defects4J,SR,bug_report,10.523,3448.063,0.00109,0.000507
2026-08-19T11:57:36,Collections-17,Defects4J,SR,bug_report,16.777,3417.452,0.001192,0.000554
2026-08-19T11:57:36,Collections-18,Defects4J,SR,bug_report,12.991,4259.548,0.001355,0.00063
2026-08-19T11:57:36,Collections-19,Defects4J,SR,bug_report,14.479,4622.032,0.001492,0.000693
2026-08-19T11:57:36,Collections-2,Defects4J,SR,bug_report,9.827,3167.442,0.001007,0.000468
2026-08-19T11:57:36,Collections-20,Defects4J,SR,bug_report,37.557,5997.969,0.002291,0.001064
2026-08-19T11:57:36,Collections-21,Defects4J,SR,bug_report,16.089,4380.965,0.001463,0.00068
2026-08-19T11:57:36,Collections-22,Defects4J,SR,bug_report,17.076,5328.069,0.001728,0.000803
2026-08-19T11:57:36,Collections-23,Defects4J,SR,bug_report,28.29,5311.224,0.001928,0.000896
2026-08-19T11:57:36,Collections-24,Defects4J,SR,bug_report,32.585,6498.879,0.002333,0.001084
2026-08-19T11:57:36,Collections-25,Defects4J,SR,bug_report,30.454,5409.689,0.002006,0.000932
2026-08-19T11:57:36,Collections-26,Defects4J,SR,bug_report,43.828,7221.523,0.002738,0.001272
